team,path,distance
Chicago State,Chicago State->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
George Washington,George Washington->South Florida->Utah State->Villanova->Wisconsin->Michigan,5
Loyola (IL),Loyola (IL)->Santa Clara->Minnesota->Indiana->Wisconsin->Michigan,5
Milwaukee,Milwaukee->Purdue Fort Wayne->Notre Dame->TCU->Wisconsin->Michigan,5
Hampton,Hampton->Elon->Appalachian State->High Point->Wisconsin->Michigan,5
West Georgia,West Georgia->Troy->San Diego State->Oregon->Wisconsin->Michigan,5
Mercyhurst,Mercyhurst->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,5
Southeast Missouri State,Southeast Missouri State->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
Florida A&M,Florida A&M->Alabama State->UAB->High Point->Wisconsin->Michigan,5
Tarleton State,Tarleton State->Texas A&M-Corpus Christi->New Orleans->TCU->Wisconsin->Michigan,5
Tennessee State,Tennessee State->UNLV->Utah State->Villanova->Wisconsin->Michigan,5
UT Arlington,UT Arlington->Stephen F. Austin->New Orleans->TCU->Wisconsin->Michigan,5
Samford,Samford->Georgia State->Appalachian State->High Point->Wisconsin->Michigan,5
Lipscomb,Lipscomb->Marshall->Appalachian State->High Point->Wisconsin->Michigan,5
Abilene Christian,Abilene Christian->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,5
Towson,Towson->Elon->Appalachian State->High Point->Wisconsin->Michigan,5
South Dakota State,South Dakota State->Georgia State->Appalachian State->High Point->Wisconsin->Michigan,5
Merrimack,Merrimack->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,5
Montana,Montana->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
UTEP,UTEP->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,5
San Jose State,San Jose State->Nevada->Utah State->Villanova->Wisconsin->Michigan,5
Idaho,Idaho->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
Washington State,Washington State->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,5
Weber State,Weber State->Northern Colorado->Colorado->TCU->Wisconsin->Michigan,5
Cal State Fullerton,Cal State Fullerton->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,5
Cal State Northridge,Cal State Northridge->Fresno State->New Orleans->TCU->Wisconsin->Michigan,5
UC Irvine,UC Irvine->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
UC Riverside,UC Riverside->Cal Poly->Utah->TCU->Wisconsin->Michigan,5
UC San Diego,UC San Diego->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,5
Loyola Marymount,Loyola Marymount->San Francisco->Minnesota->Indiana->Wisconsin->Michigan,5
St. Thomas,St. Thomas->Northern Colorado->Colorado->TCU->Wisconsin->Michigan,5
Denver,Denver->Colorado State->Colorado->TCU->Wisconsin->Michigan,5
Evansville,Evansville->Illinois State->Southern Illinois->High Point->Wisconsin->Michigan,5
Lindenwood,Lindenwood->Charleston Southern->Winthrop->High Point->Wisconsin->Michigan,5
ETSU,ETSU->Mercer->Appalachian State->High Point->Wisconsin->Michigan,5
Alcorn State,Alcorn State->Alabama State->UAB->High Point->Wisconsin->Michigan,5
SIU-Edwardsville,SIU-Edwardsville->Alabama State->UAB->High Point->Wisconsin->Michigan,5
