team,path,distance
Butler,Butler->Seton Hall->Auburn->Alabama->Kentucky->LSU->Texas->UCLA,7
Wright State,Wright State->Purdue Fort Wayne->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
USC Upstate,USC Upstate->High Point->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
Middle Tennessee,Middle Tennessee->Memphis->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Tennessee State,Tennessee State->North Alabama->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,7
Oakland,Oakland->Miami (OH)->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Youngstown State,Youngstown State->UMass->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Chattanooga,Chattanooga->Northern Kentucky->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Jacksonville State,Jacksonville State->Florida International->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Arkansas-Pine Bluff,Arkansas-Pine Bluff->Memphis->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
West Alabama,West Alabama->UAB->UTSA->South Florida->Duke->LSU->Texas->UCLA,7
Drake,Drake->Illinois State->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Boise State,Boise State->Tulane->Temple->South Florida->Duke->LSU->Texas->UCLA,7
East Texas A&M,East Texas A&M->Stephen F. Austin->McNeese->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,7
UMass-Lowell,UMass-Lowell->Albany (NY)->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
LIU,LIU->American->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
Army,Army->Howard->Fairfield->South Florida->Duke->LSU->Texas->UCLA,7
George Washington,George Washington->Richmond->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Alabama State,Alabama State->Southern->Arizona->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Hofstra,Hofstra->Drexel->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Campbell,Campbell->Drexel->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Appalachian State,Appalachian State->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Western Michigan,Western Michigan->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Boston University,Boston University->Lehigh->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Bryant,Bryant->Maine->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
Coastal Carolina,Coastal Carolina->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Georgia Southern,Georgia Southern->Troy->Missouri->Mississippi State->Kentucky->LSU->Texas->UCLA,7
Central Michigan,Central Michigan->Purdue->Washington->Maryland->Kentucky->LSU->Texas->UCLA,7
Georgia State,Georgia State->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Charleston Southern,Charleston Southern->Radford->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
New Hampshire,New Hampshire->Albany (NY)->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
Mercer,Mercer->Tulane->Temple->South Florida->Duke->LSU->Texas->UCLA,7
St. Bonaventure,St. Bonaventure->Drexel->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Elon,Elon->Towson->UMBC->Virginia->Georgia->Vanderbilt->Texas->UCLA,7
ETSU,ETSU->Charlotte->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Omaha,Omaha->Oral Roberts->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Bowling Green,Bowling Green->Purdue Fort Wayne->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Louisiana,Louisiana->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Louisiana-Monroe,Louisiana-Monroe->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Eastern Michigan,Eastern Michigan->Duquesne->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Monmouth,Monmouth->Drexel->Temple->South Florida->Duke->LSU->Texas->UCLA,7
Alcorn State,Alcorn State->Southern->Arizona->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Northern Iowa,Northern Iowa->Illinois State->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Queens (NC),Queens (NC)->West Georgia->Jacksonville->Georgia Tech->Notre Dame->Vanderbilt->Texas->UCLA,7
Rutgers,Rutgers->Rhode Island->NC State->Tennessee->Kentucky->LSU->Texas->UCLA,7
Wagner,Wagner->Cornell->Columbia->California->Notre Dame->Vanderbilt->Texas->UCLA,7
Sacred Heart,Sacred Heart->Iona->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Sam Houston,Sam Houston->Liberty->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
Southern Miss,Southern Miss->Troy->Missouri->Mississippi State->Kentucky->LSU->Texas->UCLA,7
Texas-Rio Grande Valley,Texas-Rio Grande Valley->Lamar->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,7
Lafayette,Lafayette->Lehigh->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Ball State,Ball State->Troy->Missouri->Mississippi State->Kentucky->LSU->Texas->UCLA,7
Arkansas State,Arkansas State->Tarleton State->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,7
Denver,Denver->Oral Roberts->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Fresno State,Fresno State->Wyoming->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Ohio,Ohio->Miami (OH)->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Texas State,Texas State->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Cal State Bakersfield,Cal State Bakersfield->Wichita State->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
UC Santa Barbara,UC Santa Barbara->Eastern Washington->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Pacific,Pacific->Santa Clara->San Diego State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
UC San Diego,UC San Diego->Air Force->San Diego State->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
Sacramento State,Sacramento State->Eastern Washington->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
San Diego,San Diego->Pepperdine->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
New Mexico State,New Mexico State->Utah Tech->UT Arlington->Texas A&M->Ole Miss->Vanderbilt->Texas->UCLA,7
Mount St. Mary's,Mount St. Mary's->Lehigh->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Marist,Marist->Holy Cross->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Lipscomb,Lipscomb->Florida Gulf Coast->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Kennesaw State,Kennesaw State->Liberty->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
Louisiana Tech,Louisiana Tech->South Alabama->Florida Atlantic->South Florida->Duke->LSU->Texas->UCLA,7
Southeast Missouri State,Southeast Missouri State->Wichita State->East Carolina->South Florida->Duke->LSU->Texas->UCLA,7
Southern Illinois,Southern Illinois->Illinois State->South Dakota->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
SMU,SMU->Arkansas->Auburn->Alabama->Kentucky->LSU->Texas->UCLA,7
Pitt,Pitt->Cornell->Columbia->California->Notre Dame->Vanderbilt->Texas->UCLA,7
Colgate,Colgate->Lehigh->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Siena,Siena->Iona->Navy->Florida->Ole Miss->Vanderbilt->Texas->UCLA,7
Xavier,Xavier->Purdue Fort Wayne->Green Bay->Kansas State->Ole Miss->Vanderbilt->Texas->UCLA,7
